Drug.Name	Target.Name	ps
Elephantin_1835	DHX30	17.08340743
PLX-4720_1036	RAB15	16.95523007
AZD1208_1449	DHX30	16.84566618
Obatoclax Mesylate_1068	DHX30	16.81170314
AZD5363_1916	IGJ	16.58865131
Talazoparib_1259	IGJ	16.56051111
GSK1904529A_1093	DHX30	16.55698036
AZD4547_1786	IGJ	16.5183008
BMS-536924_1091	PRCP	16.25429745
NVP-ADW742_1932	IGJ	16.13840802
Temozolomide_1375	IGJ	16.11026782
Dactolisib_1057	DHX30	16.08149785
Trametinib_1372	RAB15	16.06928111
ML323_1629	IGJ	15.96956679
AZD6738_1917	IGJ	15.96956679
Fludarabine_1813	DHX30	15.84375659
Docetaxel_1819	IGJ	15.81479565
AZD3759_1915	RAB15	15.80960642
Afuresertib_1912	IGJ	15.75851524
Dactinomycin_1811	COPS3	15.6921239
Afatinib_1032	LSM14B	15.68896014
Axitinib_1021	IGJ	15.5474637
Nelarabine_1814	PRCP	15.47955991
PD0325901_1060	PRCP	15.44917804
Temozolomide_1375	RAB15	15.42773187
MIRA-1_1931	DHX30	15.30034801
PCI-34051_1621	IGJ	15.29420185
Vincristine_1818	DHX30	15.28336649
Rapamycin_1084	DHX30	15.26638497
KRAS (G12C) Inhibitor-12_1855	DHX30	15.06260675
Ribociclib_1632	RAB15	15.04585731
Afatinib_1032	PRCP	14.93268635
MIM1_1996	DHX30	14.87581005
Tozasertib_1096	YBX1	14.75540026
Taselisib_1561	IGJ	14.71732763
Tozasertib_1096	RAB15	14.60288284
Dinaciclib_1180	IGJ	14.52034619
GDC0810_1925	RAB15	14.51123294
AZD5582_1617	IGJ	14.23894413
ZM447439_1050	IGJ	14.14045341
P22077_1933	RAB15	14.06825846
MG-132_1862	RAB15	14.06825846
Savolitinib_1936	PRCP	14.05161228
XAV939_1268	PRCP	13.85413016
AGI-6780_1634	IGJ	13.83091115
Mirin_1048	IGJ	13.69021012
KU-55933_1030	RAB15	13.68638391
Ruxolitinib_1507	IGJ	13.6057895
Oxaliplatin_1089	YBX1	13.60079998
LCL161_1557	PRCP	13.51992965
AZD6482_2169	RAB15	13.48780915
LCL161_1557	RAB15	13.45725918
AZD2014_1441	DHX30	13.43238099
I-BET-762_1624	IGJ	13.40880806
Acetalax_1804	IGJ	13.29624724
EPZ5676_1563	IGJ	13.22589672
GSK269962A_1192	IGJ	13.19775652
PF-4708671_1129	RAB15	13.19758449
AZD7762_1022	DHX30	13.10973214
LJI308_2107	IGJ	12.98670497
Taselisib_1561	RAB15	12.98373474
PFI3_1620	DHX30	12.90595392
GNE-317_1926	RAB15	12.87680986
PRT062607_1631	IGJ	12.87414415
MN-64_1854	DHX30	12.77010178
Lapatinib_1558	IGJ	12.6490225
Tozasertib_1096	IGJ	12.55053178
Zoledronate_1802	IGJ	12.53646168
I-BRD9_1928	DHX30	12.53236052
PLX-4720_1036	COPS3	12.52723685
I-BRD9_1928	TRMT6	12.52074624
GSK269962A_1192	DHX30	12.48141597
Cisplatin_1005	SEC61B	12.41392682
JQ1_2172	DHX30	12.37952686
LGK974_1598	IGJ	12.29726993
Pyridostatin_2044	DHX30	12.24367471
Dactolisib_1057	PRCP	12.19831855
MK-8776_2046	DHX30	12.10782256
Bortezomib_1191	RAB15	11.96031094
AZ960_1250	DHX30	11.87008131
I-BRD9_1928	IGJ	11.86109674
Ipatasertib_1924	YBX1	11.82976056
WZ4003_1614	COPS3	11.81804812
XAV939_1268	RAB15	11.79228614
GSK2606414_1618	DHX30	11.64932157
Niraparib_1177	IGJ	11.63597509
Cytarabine_1006	IGJ	11.57969468
JQ1_2172	PRCP	11.52991754
Dactinomycin_1811	DHX30	11.51346942
SB505124_1194	IGJ	11.42492355
Fulvestrant_1816	DHX30	11.37761728
Uprosertib_2106	DHX30	11.36063576
Ibrutinib_1799	RAB15	11.34931166
KU-55933_1030	PRCP	11.33243542
P22077_1933	DHX30	11.32667272
Daporinad_1248	IGJ	11.22794211
Sinularin_1838	DHX30	11.20780209
Epirubicin_1511	RAB15	11.19656184
GSK2578215A_1927	DHX30	11.1228945
AZD8186_1918	IGJ	11.08724108
Ulixertinib_1908	RAB15	11.07436198
Afatinib_1032	RAB15	11.01326205
AZD2014_1441	IGJ	10.98875036
AZD1208_1449	IGJ	10.96061016
Gallibiscoquinazole_1830	IGJ	10.94654005
NVP-ADW742_1932	DHX30	10.91911628
BMS-345541_1249	IGJ	10.91839985
OTX015_1626	PRCP	10.90708932
Gemcitabine_1190	IGJ	10.84804933
MN-64_1854	PRCP	10.78556186
Telomerase Inhibitor IX_1930	DHX30	10.76628262
SCH772984_1564	PRCP	10.75517999
PRT062607_1631	RAB15	10.75358736
AMG-319_2045	RAB15	10.73831238
VE-822_1613	USP39	10.68023922
PLX-4720_1036	DHX30	10.61344895
Topotecan_1808	IGJ	10.58071738
I-BET-762_1624	SEC61B	10.57506552
Teniposide_1809	IGJ	10.56664727
Cisplatin_1005	RAB15	10.55501259
Carmustine_1807	IGJ	10.53850707
Carmustine_1807	USP39	10.5157697
Sorafenib_1085	IGJ	10.51036686
Ruxolitinib_1507	PRCP	10.49693415
Leflunomide_1578	IGJ	10.41187614
Gefitinib_1010	IGJ	10.39780604
OSI-027_1594	DHX30	10.37570769
Wee1 Inhibitor_1046	DHX30	10.37570769
Osimertinib_1919	RAB15	10.37171281
Ulixertinib_2047	IGJ	10.36966583
Palbociclib_1054	DHX30	10.35872618
Nelarabine_1814	RAB15	10.35643783
Afatinib_1032	IGJ	10.35559573
Axitinib_1021	TRMT6	10.33841219
Cisplatin_1005	DHX30	10.2908001
Talazoparib_1259	RAB15	10.23423797
Sapitinib_1549	DHX30	10.22287403
RO-3306_1052	IGJ	10.1867545
Dactolisib_1057	IGJ	10.1867545
Sabutoclax_1849	DHX30	10.12098492
GSK343_1627	PRCP	10.10196991
UMI-77_1939	TRMT6	10.08934146
AZD5991_1720	IGJ	10.06012357
AZD6482_2169	YBX1	10.03915164
Teniposide_1809	DHX30	9.968151255
NU7441_1038	USP39	9.940126396
Pevonedistat_1529	DHX30	9.934188218
Dactinomycin_1811	IGJ	9.933492644
GSK343_1627	IGJ	9.905352439
Cyclophosphamide_1512	IGJ	9.905352439
Vinorelbine_2048	DHX30	9.883243663
GNE-317_1926	IGJ	9.86314213
Uprosertib_2106	IGJ	9.835001924
Fulvestrant_1200	DHX30	9.832299108
Vinblastine_1004	USP39	9.827053603
Alpelisib_1560	RAB15	9.775988509
BMS-345541_1249	USP39	9.765377535
IWP-2_1576	USP39	9.719120483
EPZ004777_1237	DHX30	9.71342848
MN-64_1854	USP39	9.667723759
Cediranib_1922	IGJ	9.638020484
Savolitinib_1936	IGJ	9.609880278
Irinotecan_1088	IGJ	9.581740072
Foretinib_2040	IGJ	9.511389558
WEHI-539_1997	IGJ	9.497319455
PRIMA-1MET_1131	IGJ	9.483249352
Teniposide_1809	RAB15	9.455213886
Pictilisib_1058	IGJ	9.42696894
Fulvestrant_1816	IGJ	9.398828734
Uprosertib_1553	IGJ	9.384758632
Talazoparib_1259	DHX30	9.356816595
BMS-345541_1249	DHX30	9.339835077
BMS-754807_2171	IGJ	9.244057603
Vinorelbine_2048	IGJ	9.244057603
Nilotinib_1013	IGJ	9.187777191
GSK2606414_1618	IGJ	9.173707088
Dasatinib_1079	RAB15	9.103889299
Staurosporine_1034	YBX1	9.070461568
EPZ004777_1237	IGJ	9.061146265
XAV939_1268	IGJ	9.047076162
MK-8776_2046	IGJ	9.018935956
AZD7762_1022	IGJ	9.018935956
JQ1_2172	IGJ	8.962655545
Pyridostatin_2044	RPS11	8.936986695
AZD6482_2169	DHX30	8.932278637
Doramapimod_1042	PRCP	8.932268131
AZD1208_1449	USP39	8.881353884
VE-822_1613	IGJ	8.864164824
Fludarabine_1813	RAB15	8.844214604
PD0325901_1060	RAB15	8.844214604
Luminespib_1559	RAB15	8.828939622
Savolitinib_1936	USP39	8.819677815
Leflunomide_1578	DHX30	8.762463454
VX-11e_2096	IGJ	8.723463795
AGI-5198_1913	DHX30	8.711518899
Dabrafenib_1373	DHX30	8.694537381
AZD3759_1915	IGJ	8.653113281
AMG-319_2045	IGJ	8.568692664
MIRA-1_1931	IGJ	8.554622561
ABT737_1910	PRCP	8.537303894
PFI3_1620	USP39	8.454761076
Sapitinib_1549	RAB15	8.416515107
OTX015_1626	IGJ	8.413921532
NU7441_1038	IGJ	8.385781326
PCI-34051_1621	DHX30	8.371888533
SB216763_1025	PRCP	8.37020364
AZ960_1250	RAB15	8.355415179
Mirin_1048	DHX30	8.354907014
Gallibiscoquinazole_1830	COPS3	8.351491236
Osimertinib_1919	COPS3	8.287981797
Nutlin-3a (-)_1047	IGJ	8.2591504
Nelarabine_1814	DHX30	8.253017904
Dabrafenib_1373	RAB15	8.21794034
PF-4708671_1129	IGJ	8.216940091
RO-3306_1052	RAB15	8.187390376
LY2109761_1852	IGJ	8.090309165
Nilotinib_1013	DHX30	8.066221203
Gallibiscoquinazole_1830	SEC61B	8.065181148
Pevonedistat_1529	IGJ	8.062168959
Luminespib_1559	IGJ	8.062168959
Picolinici-acid_1635	IGJ	8.048098856
VX-11e_2096	PRCP	8.036003132
Linsitinib_1510	RAB15	8.004090592
Daporinad_1248	BRIX1	7.967606735
AZ960_1250	SEC61B	7.965172902
RVX-208_1625	PRCP	7.960048471
SB216763_1025	DHX30	7.913387538
Staurosporine_1034	RAB15	7.912440699
Bortezomib_1191	DHX30	7.879424501
MK-8776_2046	RAB15	7.866615753
Cyclophosphamide_1512	USP39	7.83800039
Paclitaxel_1080	DHX30	7.828479946
Ulixertinib_2047	RAB15	7.820790807
MK-1775_1179	COPS3	7.811661004
Vorinostat_1012	IGJ	7.780766901
Paclitaxel_1080	IGJ	7.780766901
I-BRD9_1928	USP39	7.724927597
Camptothecin_1003	RAB15	7.698590951
VE-822_1613	DHX30	7.675646281
LJI308_2107	RAB15	7.668040987
Vinblastine_1004	IGJ	7.640065872
Sepantronium bromide_1941	DHX30	7.607720208
Foretinib_2040	USP39	7.596435787
NU7441_1038	YBX1	7.592964592
Vinblastine_1004	COPS3	7.573500608
LCL161_1557	USP39	7.539899391
I-BET-762_1624	DHX30	7.522812617
Zoledronate_1802	DHX30	7.48884958
ABT737_1910	IGJ	7.471224638
Mitoxantrone_1810	RAB15	7.46946622
Docetaxel_1819	USP39	7.447385288
5-Fluorouracil_1073	IGJ	7.414944226
Sorafenib_1085	USP39	7.38570922
GDC0810_1925	YBX1	7.377700132
AZD6482_2169	SEC61B	7.339314845
AZD5363_1916	DHX30	7.336015915
Alisertib_1051	DHX30	7.336015915
PFI3_1620	SEC61B	7.323184483
Obatoclax Mesylate_1068	IGJ	7.316453506
YK-4-279_1239	IGJ	7.302383403
AZD5438_1401	DHX30	7.302052878
PCI-34051_1621	USP39	7.288055444
Buparlisib_1873	DHX30	7.28507136
BI-2536_1086	COPS3	7.261245866
5-Fluorouracil_1073	USP39	7.23665872
MG-132_1862	IGJ	7.217962786
Pictilisib_1058	RAB15	7.209791525
Alpelisib_1560	IGJ	7.203892683
Picolinici-acid_1635	YBX1	7.201574665
UMI-77_1939	DHX30	7.200163768
Docetaxel_1007	IGJ	7.18982258
Taselisib_1561	YBX1	7.17222042
AZD2014_1441	RAB15	7.163966579
Sabutoclax_1849	IGJ	7.133542168
Irinotecan_1088	COPS3	7.118349628
Gallibiscoquinazole_1830	DHX30	7.08129314
Wnt-C59_1622	USP39	7.061909859
Telomerase Inhibitor IX_1930	IGJ	7.049121551
Erlotinib_1168	PRCP	7.048592539
Cyclophosphamide_1512	DHX30	7.047330104
KRAS (G12C) Inhibitor-12_1855	USP39	7.031071825
Epirubicin_1511	IGJ	7.006911242
AGI-6780_1634	DHX30	6.996385549
GSK343_1627	RAB15	6.995941777
BMS-536924_1091	IGJ	6.992841139
Vinblastine_1004	SEC61B	6.96509044
Lapatinib_1558	PRCP	6.957446946
UMI-77_1939	USP39	6.882021326
Lapatinib_1558	RAB15	6.87374192
AT13148_2170	DHX30	6.860533402
Ulixertinib_1908	PRCP	6.85111042
GSK269962A_1192	NOP16	6.816263885
GDC0810_1925	IGJ	6.795859699
Temozolomide_1375	COPS3	6.784925073
AZD5582_1617	YBX1	6.771045744
Gefitinib_1010	USP39	6.768948533
AZD4547_1786	DHX30	6.758644292
Mirin_1048	YBX1	6.751476248
Uprosertib_1553	DHX30	6.741662774
Vincristine_1818	IGJ	6.725509184
ML323_1629	DHX30	6.707699737
AZD5153_1706	DHX30	6.690718219
Doramapimod_1042	IGJ	6.683298876
PF-4708671_1129	PES1	6.682079594
AGI-5198_1913	IGJ	6.627018464
Sapitinib_1549	PRCP	6.623246437
BIBR-1532_2043	COPS3	6.599689209
Pyridostatin_2044	RAB15	6.598792244
Oxaliplatin_1806	IGJ	6.570738052
AZD5153_1706	IGJ	6.542597847
Acetalax_1804	YBX1	6.52642704
OF-1_1853	DHX30	6.520903036
UMI-77_1939	IGJ	6.514457641
Oxaliplatin_1806	USP39	6.496545897
GSK2606414_1618	USP39	6.48112688
Topotecan_1808	RAB15	6.476592387
Ipatasertib_1924	RAB15	6.476592387
Dasatinib_1079	DHX30	6.435995444
AZ6102_2109	IGJ	6.415966921
AZD8055_1059	PRCP	6.395382454
AZD6738_1917	WDR75	6.375622432
NU7441_1038	RAB15	6.354392531
Camptothecin_1003	IGJ	6.331546303
Oxaliplatin_1089	IGJ	6.3174762
AZD7762_1022	SEC61B	6.306971658
Docetaxel_1007	SEC61B	6.252128426
MK-1775_1179	IGJ	6.247125686
AZD1332_1463	TRMT6	6.238628847
EPZ5676_1563	SEC61B	6.223093774
Ibrutinib_1799	PRCP	6.213091268
MIRA-1_1931	SEC61B	6.200511267
Docetaxel_1007	COPS3	6.176292948
OF-1_1853	SEC61B	6.148894108
Ibrutinib_1799	IGJ	6.148634965
Teniposide_1809	SEC61B	6.142441963
GSK269962A_1192	USP39	6.13676883
GSK1904529A_1093	TRMT6	6.131884247
CZC24832_1615	COPS3	6.107491056
Afatinib_1032	YBX1	6.066543875
MIM1_1996	RAB15	6.04889289
Lapatinib_1558	YBX1	6.046974379
Ibrutinib_1799	USP39	6.044254727
MIRA-1_1931	COPS3	6.043981617
Cediranib_1922	COPS3	6.017519351
LCL161_1557	COPS3	6.012226897
Nelarabine_1814	USP39	5.992858003
Dasatinib_1079	IGJ	5.965723628
Wee1 Inhibitor_1046	IGJ	5.965723628
Osimertinib_1919	YBX1	5.958911645
Venetoclax_1909	IGJ	5.951653525
AZD6738_1917	USP39	5.926042262
Acetalax_1804	RAB15	5.911418052
Topotecan_1808	USP39	5.890064555
LCL161_1557	IGJ	5.88130301
Niraparib_1177	RAB15	5.880868087
Linsitinib_1510	YBX1	5.870848911
VE821_2111	DHX30	5.858623821
Cisplatin_1005	COPS3	5.8534533
Wnt-C59_1622	IGJ	5.853162805
WIKI4_1940	IGJ	5.853162805
Fulvestrant_1200	IGJ	5.839092702
Dactinomycin_1811	TRMT6	5.827464462
AMG-319_2045	DHX30	5.824660784
Cytarabine_1006	USP39	5.807829797
Selumetinib_1736	RAB15	5.804493177
KRAS (G12C) Inhibitor-12_1855	RPS27	5.796893607
Carmustine_1807	DHX30	5.790697748
Dactinomycin_1911	USP39	5.761572745
Buparlisib_1873	IGJ	5.754672084
GSK2578215A_1927	IGJ	5.740601982
OF-1_1853	IGJ	5.726531879
EPZ5676_1563	RAB15	5.682293321
Mitoxantrone_1810	IGJ	5.670251467
MK-2206_1053	IGJ	5.656181364
SB505124_1194	RAB15	5.651743357
GDC0810_1925	USP39	5.633080936
Trametinib_1372	USP39	5.617661919
AZD8055_1059	USP39	5.617661919
Fludarabine_1813	COPS3	5.615292903
IWP-2_1576	IGJ	5.613971055
Elephantin_1835	IGJ	5.599900953
Gefitinib_1010	RAB15	5.575368447
BIBR-1532_2043	PRCP	5.575072116
KRAS (G12C) Inhibitor-12_1855	IGJ	5.571760747
AT13148_2170	IGJ	5.515480335
Navitoclax_1011	IGJ	5.515480335
Mitoxantrone_1810	COPS3	5.514736291
Afatinib_1032	USP39	5.504589126
ZM447439_1050	USP39	5.489170109
ABT737_1910	PES1	5.487657866
BIBR-1532_2043	IGJ	5.487340129
Sorafenib_1085	SEC61B	5.481097108
Crizotinib_1083	IGJ	5.473270026
Oxaliplatin_1089	BRIX1	5.459785951
Pyridostatin_2044	USP39	5.458332075
GSK1904529A_1093	SSBP1	5.445215872
P22077_1933	IGJ	5.445129821
Foretinib_2040	TRMT6	5.388625551
Pictilisib_1058	YBX1	5.381611502
Mitoxantrone_1810	TRMT6	5.372811536
PD0325901_1060	DDX55	5.36722638
KU-55933_1030	YBX1	5.362042006
GSK269962A_1192	COPS3	5.345377787
EPZ004777_1237	COPS3	5.276575895
Dinaciclib_1180	USP39	5.247605507
Dihydrorotenone_1827	YBX1	5.234840279
AZD1332_1463	COPS3	5.228943816
VX-11e_2096	PES1	5.224550982
PLX-4720_1036	YBX1	5.215270783
PD173074_1049	IGJ	5.205938071
Gemcitabine_1190	DRG2	5.198233339
JQ1_2172	PES1	5.191140584
Taselisib_1561	SSBP1	5.182958703
Sinularin_1838	COPS3	5.133679657
Entospletinib_1630	IGJ	5.107447351
RO-3306_1052	COPS3	5.096632484
Dinaciclib_1180	COPS3	5.096632484
BIBR-1532_2043	USP39	5.08313599
Axitinib_1021	YBX1	5.048930064
Selumetinib_1736	TRMT6	5.048624232
EPZ5676_1563	USP39	5.031739267
Cisplatin_1005	DRG2	5.026817619
Acetalax_1804	BRIX1	5.020549239
RO-3306_1052	YBX1	5.009791071
AZD5438_1401	COPS3	5.001368326
Taselisib_1561	COPS3	4.990783419
Olaparib_1017	COPS3	4.964321153
Bortezomib_1191	YBX1	4.96086733
Tozasertib_1096	PES1	4.957267798
PD173074_1049	USP39	4.954644181
Luminespib_1559	USP39	4.954644181
Wnt-C59_1622	COPS3	4.94315134
Talazoparib_1259	COPS3	4.932566433
UMI-77_1939	COPS3	4.92727398
YK-4-279_1239	SEC61B	4.926212645
Fludarabine_1813	DRG2	4.921489888
KRAS (G12C) Inhibitor-12_1855	TRMT6	4.898391091
Mitoxantrone_1810	USP39	4.882688767
Linsitinib_1510	TRMT6	4.874670069
P22077_1933	SEC61B	4.868143341
Paclitaxel_1080	USP39	4.851850733
Osimertinib_1919	NHP2L1	4.807778216
AZD2014_1441	UTP3	4.805981437
AZD5153_1706	UTP3	4.795721016
Rapamycin_1084	COPS3	4.779085289
Erlotinib_1168	IGJ	4.741624676
XAV939_1268	WDR75	4.726754562
Doramapimod_1042	TRMT6	4.720483424
PD0325901_1060	PES1	4.698337214
Irinotecan_1088	BRIX1	4.691735164
Telomerase Inhibitor IX_1930	PES1	4.689984615
Dihydrorotenone_1827	IGJ	4.671274161
Cyclophosphamide_1512	COPS3	4.667943771
PRT062607_1631	YBX1	4.667324885
Fulvestrant_1816	USP39	4.666822527
MK-1775_1179	RPS7	4.666547567
Teniposide_1809	USP39	4.661682855
Leflunomide_1578	USP39	4.656543182
AGI-6780_1634	COPS3	4.625604145
Foretinib_2040	SEC61B	4.619735762
EPZ004777_1237	SEC61B	4.616509689
Osimertinib_1919	IGJ	4.600923647
Axitinib_1021	PES1	4.59810602
Temozolomide_1375	TRMT6	4.590017802
Podophyllotoxin bromide_1825	TRMT6	4.558389773
OSI-027_1594	PES1	4.552166723
GSK1904529A_1093	USP39	4.512632355
Alisertib_1051	WDR75	4.504224427
Mitoxantrone_1810	WDR75	4.496181169
IWP-2_1576	COPS3	4.482707907
Acetalax_1804	SEC61B	4.474562501
Dactinomycin_1911	IGJ	4.474292721
KU-55933_1030	BRIX1	4.465982216
LY2109761_1852	COPS3	4.450953187
Obatoclax Mesylate_1068	RPS27	4.440866543
Podophyllotoxin bromide_1825	SEC61B	4.40681498
RO-3306_1052	WDR75	4.399662074
Carmustine_1807	NHP2L1	4.38618831
Alpelisib_1560	YBX1	4.363997691
Oxaliplatin_1806	SEC61B	4.351971748
Luminespib_1559	COPS3	4.350396575
Docetaxel_1819	WDR75	4.346040354
ML323_1629	WDR75	4.332634925
Uprosertib_2106	USP39	4.322464477
Olaparib_1017	NHP2L1	4.320056561
AZD5153_1706	COPS3	4.313349403
MK-8776_2046	COPS3	4.29217959
MIRA-1_1931	WDR75	4.289737549
Selumetinib_1736	IGJ	4.27731128
MG-132_1862	SEC61B	4.274546009
OSI-027_1594	COPS3	4.255132417
Leflunomide_1578	TRMT6	4.250016484
Ruxolitinib_1507	USP39	4.240229719
Foretinib_2040	COPS3	4.218085244
Cisplatin_1005	RPS7	4.195881451
Fulvestrant_1200	USP39	4.193972667
Zoledronate_1802	USP39	4.193972667
PD0325901_1060	SSBP1	4.185299985
GSK343_1627	WDR75	4.174450852
Staurosporine_1034	TRMT6	4.170946409
Navitoclax_1011	DRG2	4.151151773
WZ4003_1614	SEC61B	4.148729183
Luminespib_1559	DRG2	4.134629776
Sapitinib_1549	YBX1	4.119378986
Sinularin_1838	SEC61B	4.113242386
OTX015_1626	SEC61B	4.106790241
MN-64_1854	SEC61B	4.106790241
Sabutoclax_1849	COPS3	4.085773913
AZD3759_1915	BRIX1	4.061099213
ABT737_1910	NHP2L1	4.052222974
WIKI4_1940	WDR75	4.040396554
Zoledronate_1802	TRMT6	4.028620276
AZD5991_1720	USP39	3.998665117
Buparlisib_1873	SEC61B	3.997103777
Uprosertib_1553	COPS3	3.995802207
AZ6102_2109	COPS3	3.995802207
AZD5153_1706	WDR75	3.994818093
EPZ5676_1563	COPS3	3.990509754
