+------+-------------------------------+-------------+---------------+
| Rank |           Drug Name           | Target Name | Binding Score |
|  33  |          AZD2014_1441         |     UTP3    |     23.42     |
|  34  |        Entinostat_1593        |     IGJ     |     23.38     |
|  35  |          AZD5153_1706         |     UTP3    |     23.37     |
|  36  |         Erlotinib_1168        |    RPS14    |     23.29     |
|  37  |        GSK269962A_1192        |    NOP16    |     22.97     |
|  38  |         Docetaxel_1007        |    DHX30    |     22.95     |
|  39  |          AZD6482_2169         |    SEC61B   |     22.75     |
|  40  |           PFI3_1620           |    SEC61B   |     22.70     |
|  41  |        Dactolisib_1057        |    RPS11    |     22.66     |
|  42  |        Trametinib_1372        |    RPS14    |     22.64     |
|  43  |          GSK343_1627          |    RPS14    |     22.62     |
|  44  |        Vinorelbine_2048       |    RPS11    |     22.60     |
|  45  |         Niraparib_1177        |     PRCP    |     22.40     |
|  46  |          AZD8055_1059         |    DHX30    |     22.34     |
|  47  |          WZ4003_1614          |    COPS3    |     22.33     |
|  48  |        Oxaliplatin_1089       |    BRIX1    |     22.25     |
|  49  |         SB505124_1194         |    LSM14B   |     21.90     |
|  50  |        Dinaciclib_1180        |    DHX30    |     21.90     |
|  51  |        Vinblastine_1004       |    SEC61B   |     21.59     |
|  52  |         Daporinad_1248        |    RPS14    |     21.57     |
|  53  |          GSK343_1627          |     RPS7    |     21.39     |
|  54  |          AZD5582_1617         |     PRCP    |     21.01     |
|  55  |         ZM447439_1050         |    EXOSC4   |     20.95     |
|  56  |          LCL161_1557          |     DENR    |     20.92     |
|  57  |          VE-822_1613          |    USP39    |     20.78     |
|  58  |        Carmustine_1807        |    USP39    |     20.46     |
|  59  |         Acetalax_1804         |    BRIX1    |     20.46     |
|  60  |        Linsitinib_1510        |     DENR    |     20.43     |
|  61  |         Sorafenib_1085        |    DHX30    |     20.33     |
|  62  |        Vinblastine_1004       |    RPS11    |     20.33     |
|  63  |        GSK1904529A_1093       |    SSBP1    |     20.14     |
|  64  |        Navitoclax_1011        |     DRG2    |     20.10     |
|  65  |        Luminespib_1559        |     DRG2    |     20.02     |
|  66  |         Docetaxel_1819        |    NHP2L1   |     19.98     |
|  67  |        Sabutoclax_1849        |     RPS7    |     19.98     |
|  68  |         BIBR-1532_2043        |     RPS7    |     19.97     |
|  69  |         LY2109761_1852        |     PRCP    |     19.93     |
|  70  |        Tozasertib_1096        |    RPS14    |     19.91     |
|  71  |        Afuresertib_1912       |    RPS27    |     19.70     |
|  72  |          AZD7762_1022         |    SEC61B   |     19.55     |
|  73  |         Docetaxel_1007        |    SEC61B   |     19.38     |
|  74  |          NU7441_1038          |    USP39    |     19.34     |
|  75  |          EPZ5676_1563         |    SEC61B   |     19.29     |
|  76  |          MIRA-1_1931          |    SEC61B   |     19.22     |
|  77  |  Podophyllotoxin bromide_1825 |     IGJ     |     19.22     |
|  78  |         Taselisib_1561        |    SSBP1    |     19.17     |
|  79  |        Ipatasertib_1924       |     DENR    |     19.16     |
|  80  |        Vinblastine_1004       |    USP39    |     19.12     |
|  81  |        Irinotecan_1088        |    BRIX1    |     19.12     |
|  82  |           OF-1_1853           |    SEC61B   |     19.06     |
|  83  |        Teniposide_1809        |    SEC61B   |     19.04     |
|  84  |        BMS-345541_1249        |    USP39    |     19.00     |
|  85  |           IWP-2_1576          |    USP39    |     18.91     |
|  86  |          MIRA-1_1931          |     RPS7    |     18.82     |
|  87  |           MN-64_1854          |    USP39    |     18.81     |
|  88  |          AZD5991_1720         |    RPS27    |     18.67     |
|  89  |          AZD8186_1918         |    EXOSC4   |     18.66     |
|  90  |          LCL161_1557          |    RPS14    |     18.62     |
|  91  |          AZD4547_1786         |     DENR    |     18.59     |
|  92  |      Dihydrorotenone_1827     |    NHP2L1   |     18.42     |
|  93  |          EPZ5676_1563         |    RPS27    |     18.38     |
|  94  |         AGI-6780_1634         |    NHP2L1   |     18.28     |
|  95  |         Olaparib_1017         |     IGJ     |     18.26     |
|  96  |         KU-55933_1030         |    BRIX1    |     18.20     |
|  97  |          AZD8186_1918         |    RAB15    |     18.19     |
|  98  |        Doramapimod_1042       |    RAB15    |     17.98     |
|  99  |         ZM447439_1050         |    RPS11    |     17.92     |
| 100  |          AZD1208_1449         |     DRG2    |     17.87     |
| 101  |         AGI-5198_1913         |    RPS14    |     17.74     |
| 102  |           Mirin_1048          |    RPS11    |     17.71     |
| 103  |          XAV939_1268          |    WDR75    |     17.63     |
| 104  |          AZD5438_1401         |    RPS11    |     17.55     |
| 105  |          AZD1208_1449         |    USP39    |     17.28     |
| 106  |         Alisertib_1051        |     DRG2    |     17.27     |
| 107  |           MN-64_1854          |     UTP3    |     17.26     |
| 108  |        Savolitinib_1936       |    USP39    |     17.16     |
| 109  |         Cisplatin_1005        |     IGJ     |     17.09     |
| 110  |         Sorafenib_1085        |    SEC61B   |     16.99     |
| 111  |        Carmustine_1807        |     RPS7    |     16.94     |
| 112  |         Alisertib_1051        |    WDR75    |     16.80     |
| 113  |       Mitoxantrone_1810       |    WDR75    |     16.77     |
| 114  |         Alisertib_1051        |     RPS7    |     16.73     |
| 115  |       Nutlin-3a (-)_1047      |     RPS7    |     16.73     |
| 116  |          AZD4547_1786         |    RPS11    |     16.70     |
| 117  |   Sepantronium bromide_1941   |     DENR    |     16.67     |
| 118  |          LJI308_2107          |    RPS27    |     16.66     |
| 119  |        Entinostat_1593        |     RPS7    |     16.56     |
| 120  |          AZD3759_1915         |    BRIX1    |     16.55     |
| 121  |        Entinostat_1593        |    NHP2L1   |     16.46     |
| 122  |           PFI3_1620           |    USP39    |     16.45     |
| 123  |         YK-4-279_1239         |    RPS27    |     16.41     |
| 124  |          RO-3306_1052         |    WDR75    |     16.41     |
| 125  |        Leflunomide_1578       |     DRG2    |     16.39     |
| 126  |         Topotecan_1808        |     DENR    |     16.37     |
| 127  |         Sorafenib_1085        |    NHP2L1   |     16.28     |
| 128  |         Docetaxel_1819        |    WDR75    |     16.21     |
| 129  |         Docetaxel_1007        |    TROVE2   |     16.21     |
| 130  |          GSK591_2110          |     IGJ     |     16.20     |
| 131  |           ML323_1629          |    WDR75    |     16.16     |
| 132  |        PF-4708671_1129        |     PES1    |     16.00     |
| 133  |          MIRA-1_1931          |    WDR75    |     16.00     |
| 134  |         YK-4-279_1239         |     DENR    |     15.94     |
| 135  |         AGI-6780_1634         |     RPS7    |     15.94     |
| 136  |          AZD1208_1449         |    RPS14    |     15.91     |
| 137  |       Temozolomide_1375       |    DHX30    |     15.90     |
| 138  |         Alisertib_1051        |     IGJ     |     15.84     |
| 139  |          AZD1332_1463         |    TRMT6    |     15.78     |
| 140  |    Gallibiscoquinazole_1830   |    COPS3    |     15.78     |
| 141  |        Osimertinib_1919       |    COPS3    |     15.66     |
| 142  |        Nelarabine_1814        |    EXOSC4   |     15.63     |
| 143  |       Dactinomycin_1811       |    RPS14    |     15.58     |
| 144  |          GSK343_1627          |    WDR75    |     15.57     |
| 145  |           PFI3_1620           |     IGJ     |     15.55     |
| 146  |         Alisertib_1051        |    NHP2L1   |     15.51     |
| 147  |        GSK1904529A_1093       |    TRMT6    |     15.51     |
| 148  |         PD0325901_1060        |    SSBP1    |     15.48     |
| 149  |           WIKI4_1940          |    RPS14    |     15.39     |
| 150  |        Ruxolitinib_1507       |    RPS11    |     15.35     |
| 151  |        Linsitinib_1510        |     RPS7    |     15.34     |
| 152  |       Nutlin-3a (-)_1047      |    RPS27    |     15.31     |
| 153  |        Oxaliplatin_1806       |    DHX30    |     15.29     |
| 154  |         YK-4-279_1239         |    SEC61B   |     15.27     |
| 155  |     Cyclophosphamide_1512     |    USP39    |     15.25     |
| 156  |          P22077_1933          |    SEC61B   |     15.09     |
| 157  |        Tozasertib_1096        |     YBX1    |     15.08     |
| 158  |           WIKI4_1940          |    WDR75    |     15.07     |
| 159  |          I-BRD9_1928          |    USP39    |     15.03     |
| 160  |        GSK1904529A_1093       |     RPS7    |     14.96     |
| 161  |          AZD5153_1706         |    WDR75    |     14.90     |
| 162  |          AZD2014_1441         |    BRIX1    |     14.90     |
| 163  |          AZD1332_1463         |     RPS7    |     14.82     |
| 164  |         Foretinib_2040        |    USP39    |     14.78     |
| 165  |         KU-55933_1030         |     IGJ     |     14.78     |
| 166  |         Tamoxifen_1199        |     RPS7    |     14.77     |
| 167  |          MK-1775_1179         |    COPS3    |     14.76     |
| 168  |       Dactinomycin_1811       |    TRMT6    |     14.74     |
| 169  |         CZC24832_1615         |    DHX30    |     14.72     |
| 170  |           AZ960_1250          |    EXOSC4   |     14.72     |
| 171  |          LCL161_1557          |    USP39    |     14.67     |
| 172  |         Docetaxel_1007        |    RPS11    |     14.65     |
| 173  |           MIM1_1996           |     UTP3    |     14.61     |
| 174  |        Venetoclax_1909        |    NHP2L1   |     14.60     |
| 175  |         KU-55933_1030         |    RPS27    |     14.59     |
| 176  |          AZD5991_1720         |    DHX30    |     14.59     |
| 177  |       Pevonedistat_1529       |    NHP2L1   |     14.52     |
| 178  |         Docetaxel_1819        |    USP39    |     14.49     |
| 179  |        Cytarabine_1006        |    BRIX1    |     14.47     |
| 180  |          NU7441_1038          |     DENR    |     14.42     |
| 181  |        Oxaliplatin_1806       |    LSM14B   |     14.41     |
| 182  |         Sorafenib_1085        |    USP39    |     14.37     |
| 183  |           MN-64_1854          |    RAB15    |     14.36     |
| 184  |          RVX-208_1625         |     IGJ     |     14.35     |
| 185  |        Trametinib_1372        |    TROVE2   |     14.33     |
| 186  |         Foretinib_2040        |    SEC61B   |     14.32     |
| 187  |        Vinblastine_1004       |    COPS3    |     14.31     |
| 188  |         EPZ004777_1237        |    SEC61B   |     14.31     |
| 189  |          AZD5991_1720         |     RPS7    |     14.31     |
| 190  |        Vinblastine_1004       |    DHX30    |     14.23     |
| 191  |          Wnt-C59_1622         |    DHX30    |     14.20     |
| 192  |        Epirubicin_1511        |    RPS27    |     14.19     |
| 193  |         EPZ004777_1237        |     DENR    |     14.19     |
| 194  |         PCI-34051_1621        |    USP39    |     14.18     |
| 195  |        Ipatasertib_1924       |     RPS7    |     14.18     |
| 196  |  Telomerase Inhibitor IX_1930 |    NHP2L1   |     14.17     |
| 197  |          AZD6482_2169         |     PRCP    |     14.15     |
| 198  | KRAS (G12C) Inhibitor-12_1855 |     DRG2    |     14.14     |
| 199  |        Ribociclib_1632        |     IGJ     |     14.14     |
| 200  |        Luminespib_1559        |     RPS7    |     14.13     |
| 201  |      Dihydrorotenone_1827     |    DHX30    |     14.12     |
| 202  |         WEHI-539_1997         |     DRG2    |     14.09     |
| 203  |        Uprosertib_1553        |    RPS27    |     14.09     |
| 204  |      5-Fluorouracil_1073      |    USP39    |     14.08     |
| 205  |          NU7441_1038          |    NHP2L1   |     14.04     |
| 206  |        PRIMA-1MET_1131        |    DHX30    |     14.03     |
| 207  |        Crizotinib_1083        |    LSM14B   |     14.01     |
| 208  |        Oxaliplatin_1089       |     YBX1    |     13.90     |
| 209  |         Acetalax_1804         |    SEC61B   |     13.87     |
| 210  |        Tozasertib_1096        |    WDR75    |     13.75     |
| 211  |          Wnt-C59_1622         |    USP39    |     13.74     |
| 212  |          BI-2536_1086         |    COPS3    |     13.72     |
| 213  |          MIRA-1_1931          |    RPS14    |     13.71     |
| 214  | KRAS (G12C) Inhibitor-12_1855 |    USP39    |     13.68     |
| 215  |        NVP-ADW742_1932        |     DRG2    |     13.67     |
| 216  |  Podophyllotoxin bromide_1825 |    SEC61B   |     13.66     |
| 217  |         Docetaxel_1007        |    SSBP1    |     13.63     |
| 218  |       Staurosporine_1034      |    NHP2L1   |     13.63     |
| 219  |         Foretinib_2040        |    TRMT6    |     13.63     |
| 220  |          AZD6738_1917         |    LSM14B   |     13.62     |
| 221  |       Pyridostatin_2044       |    TROVE2   |     13.60     |
| 222  |       Mitoxantrone_1810       |    TRMT6    |     13.59     |
| 223  |         ZM447439_1050         |     DENR    |     13.55     |
| 224  |        BMS-345541_1249        |     RPS7    |     13.55     |
| 225  |        Talazoparib_1259       |    NHP2L1   |     13.55     |
| 226  |        Oxaliplatin_1806       |    SEC61B   |     13.49     |
| 227  |         PD173074_1049         |    DHX30    |     13.47     |
| 228  |        Irinotecan_1088        |    COPS3    |     13.45     |
| 229  |         Topotecan_1808        |    RPS27    |     13.42     |
| 230  |        Leflunomide_1578       |    RPS27    |     13.41     |
| 231  |         Alpelisib_1560        |    LSM14B   |     13.40     |
| 232  |          UMI-77_1939          |    USP39    |     13.39     |
| 233  |          AZD1332_1463         |     DRG2    |     13.38     |
| 234  |        Linsitinib_1510        |     IGJ     |     13.37     |
| 235  |          GNE-317_1926         |    LSM14B   |     13.36     |
| 236  |          WZ4003_1614          |     RPS7    |     13.30     |
| 237  |        Ulixertinib_2047       |    RPS11    |     13.26     |
| 238  |        Uprosertib_2106        |    TROVE2   |     13.26     |
| 239  |          MG-132_1862          |    SEC61B   |     13.25     |
| 240  |     Cyclophosphamide_1512     |    NHP2L1   |     13.21     |
| 241  |         LY2109761_1852        |    WDR75    |     13.17     |
| 242  |         Gefitinib_1010        |    USP39    |     13.17     |
| 243  |          ABT737_1910          |     PES1    |     13.14     |
| 244  |          AZD8055_1059         |    RAB15    |     13.12     |
| 245  |          ABT737_1910          |     RPS7    |     13.08     |
| 246  |         Tamoxifen_1199        |    DHX30    |     13.03     |
| 247  |        GSK2578215A_1927       |    RPS11    |     13.02     |
| 248  |         LY2109761_1852        |     DENR    |     12.99     |
| 249  |         Tamoxifen_1199        |    SSBP1    |     12.99     |
| 250  |         AGI-6780_1634         |     DRG2    |     12.95     |
| 251  |        Palbociclib_1054       |    WDR75    |     12.93     |
| 252  |         Rapamycin_1084        |     IGJ     |     12.92     |
| 253  |          Wnt-C59_1622         |    NHP2L1   |     12.86     |
| 254  |          WZ4003_1614          |    SEC61B   |     12.86     |
| 255  |       Temozolomide_1375       |    COPS3    |     12.82     |
| 256  |          AZD1332_1463         |    EXOSC4   |     12.79     |
| 257  |        Ulixertinib_2047       |    WDR75    |     12.77     |
| 258  |        Selumetinib_1736       |    TRMT6    |     12.77     |
| 259  |           Mirin_1048          |    WDR75    |     12.76     |
| 260  |         Sinularin_1838        |    SEC61B   |     12.75     |
| 261  |        Carmustine_1807        |     DENR    |     12.75     |
| 262  |        Pictilisib_1058        |    RPS27    |     12.73     |
| 263  |           MN-64_1854          |    SEC61B   |     12.73     |
| 264  |          OTX015_1626          |    SEC61B   |     12.73     |
| 265  |        Savolitinib_1936       |    RAB15    |     12.73     |
| 266  |         Sapitinib_1549        |     IGJ     |     12.70     |
| 267  |          LGK974_1598          |     PRCP    |     12.69     |
| 268  |         WEHI-539_1997         |    NHP2L1   |     12.65     |
| 269  |        Fulvestrant_1200       |    WDR75    |     12.64     |
| 270  |        Oxaliplatin_1806       |    USP39    |     12.64     |
| 271  |        GSK2606414_1618        |    USP39    |     12.61     |
| 272  |           IWP-2_1576          |    DHX30    |     12.61     |
| 273  |           MN-64_1854          |    RPS14    |     12.59     |
| 274  |          NU7441_1038          |    BRIX1    |     12.57     |
| 275  |         YK-4-279_1239         |    RPS14    |     12.54     |
| 276  |        Uprosertib_1553        |     RPS7    |     12.54     |
| 277  |   Sepantronium bromide_1941   |     PRCP    |     12.51     |
| 278  |          VX-11e_2096          |     PES1    |     12.51     |
| 279  |       Mitoxantrone_1810       |    RPS14    |     12.50     |
| 280  |         Sorafenib_1085        |     RPS7    |     12.48     |
| 281  |         BIBR-1532_2043        |    COPS3    |     12.47     |
| 282  |        Zoledronate_1802       |     DENR    |     12.44     |
| 283  |            JQ1_2172           |     PES1    |     12.43     |
| 284  |        Buparlisib_1873        |    SEC61B   |     12.39     |
| 285  | KRAS (G12C) Inhibitor-12_1855 |    TRMT6    |     12.39     |
| 286  |         SB216763_1025         |    RPS27    |     12.38     |
| 287  |          LJI308_2107          |    RPS14    |     12.38     |
| 288  |          WZ4003_1614          |    DHX30    |     12.33     |
| 289  |        BMS-345541_1249        |    SEC61B   |     12.33     |
| 290  |        Linsitinib_1510        |    TRMT6    |     12.33     |
| 291  |          MG-132_1862          |    DHX30    |     12.31     |
| 292  |        Elephantin_1835        |    WDR75    |     12.29     |
| 293  |        BMS-754807_2171        |    SEC61B   |     12.28     |
| 294  |          MK-8776_2046         |     PRCP    |     12.28     |
| 295  |        Linsitinib_1510        |     DRG2    |     12.25     |
| 296  |          MK-1775_1179         |    WDR75    |     12.24     |
| 297  |          AMG-319_2045         |    RPS27    |     12.22     |
| 298  |        BMS-754807_2171        |    NHP2L1   |     12.21     |
| 299  |        Ipatasertib_1924       |     IGJ     |     12.20     |
| 300  |          MG-132_1862          |    RPS27    |     12.18     |
| 301  |         CZC24832_1615         |     IGJ     |     12.17     |
| 302  |          AZD2014_1441         |     PRCP    |     12.17     |
| 303  |           VE821_2111          |     IGJ     |     12.15     |
| 304  |        Ruxolitinib_1507       |    RAB15    |     12.15     |
| 305  |        Epirubicin_1511        |    SEC61B   |     12.14     |
| 306  |          AZD8055_1059         |    LSM14B   |     12.14     |
| 307  |         Alisertib_1051        |    RPS27    |     12.12     |
| 308  |        Tozasertib_1096        |    EXOSC4   |     12.10     |
| 309  |      Picolinici-acid_1635     |    WDR75    |     12.10     |
| 310  |        Sabutoclax_1849        |     DENR    |     12.10     |
| 311  |         Docetaxel_1007        |    NHP2L1   |     12.09     |
| 312  |        Ipatasertib_1924       |     YBX1    |     12.09     |
| 313  |        Bortezomib_1191        |    BRIX1    |     12.09     |
| 314  |        Linsitinib_1510        |    DHX30    |     12.07     |
| 315  |    Gallibiscoquinazole_1830   |     DENR    |     12.06     |
| 316  |          RVX-208_1625         |     DENR    |     12.04     |
| 317  |          VE-822_1613          |    TROVE2   |     12.03     |
| 318  |          GNE-317_1926         |     RPS7    |     12.03     |
| 319  |         I-BET-762_1624        |    RAB15    |     12.00     |
| 320  |       Temozolomide_1375       |    RPS11    |     11.98     |
| 321  |       Mitoxantrone_1810       |    DHX30    |     11.95     |
| 322  |        Doramapimod_1042       |    TRMT6    |     11.94     |
| 323  |        GSK269962A_1192        |    USP39    |     11.94     |
| 324  |         Acetalax_1804         |    EXOSC4   |     11.91     |
| 325  |          EPZ5676_1563         |    RPS11    |     11.91     |
| 326  |        Entinostat_1593        |    RPS11    |     11.91     |
| 327  |        GSK2606414_1618        |     DRG2    |     11.89     |
| 328  |          UMI-77_1939          |    SEC61B   |     11.88     |
| 329  |        Tozasertib_1096        |     PES1    |     11.87     |
| 330  |       Camptothecin_1003       |    RPS11    |     11.87     |
| 331  |        Ruxolitinib_1507       |    WDR75    |     11.86     |
| 332  |        Irinotecan_1088        |    RPS27    |     11.85     |
| 333  |        Navitoclax_1011        |    RPS27    |     11.82     |
| 334  |          AZD4547_1786         |    NHP2L1   |     11.81     |
| 335  |        Gemcitabine_1190       |    SEC61B   |     11.79     |
| 336  |        Oxaliplatin_1089       |    LSM14B   |     11.79     |
| 337  |          AZD5363_1916         |     IGJ     |     11.79     |
| 338  |        Talazoparib_1259       |     IGJ     |     11.77     |
| 339  |         Afatinib_1032         |     DENR    |     11.77     |
| 340  |        Dabrafenib_1373        |    SEC61B   |     11.76     |
| 341  |         Ibrutinib_1799        |    USP39    |     11.76     |
| 342  |         PD0325901_1060        |    DDX55    |     11.74     |
| 343  |          AZD4547_1786         |     IGJ     |     11.74     |
| 344  |        Ulixertinib_2047       |     DRG2    |     11.73     |
| 345  |        Palbociclib_1054       |    RPS27    |     11.71     |
| 346  |           MIM1_1996           |    RPS14    |     11.69     |
| 347  |          AZD5363_1916         |    WDR75    |     11.68     |
| 348  |          GDC0810_1925         |    WDR75    |     11.67     |
| 349  |         Docetaxel_1007        |    COPS3    |     11.67     |
| 350  |         BIBR-1532_2043        |    RPS27    |     11.66     |
| 351  |        Nelarabine_1814        |    USP39    |     11.66     |
| 352  |          AZD8055_1059         |     RPS7    |     11.65     |
| 353  |        Fulvestrant_1816       |    RPS27    |     11.65     |
| 354  | KRAS (G12C) Inhibitor-12_1855 |    RPS11    |     11.63     |
| 355  |          LGK974_1598          |     DENR    |     11.62     |
| 356  |        Osimertinib_1919       |     PRCP    |     11.61     |
| 357  |        Selumetinib_1736       |     DRG2    |     11.61     |
| 358  |       Temozolomide_1375       |    TRMT6    |     11.61     |
| 359  |        GSK269962A_1192        |     DRG2    |     11.60     |
| 360  |      Picolinici-acid_1635     |    SEC61B   |     11.59     |
| 361  |         Niraparib_1177        |    RPS14    |     11.56     |
| 362  |        Uprosertib_1553        |    SEC61B   |     11.55     |
| 363  |         CZC24832_1615         |    COPS3    |     11.54     |
| 364  |  Podophyllotoxin bromide_1825 |    TRMT6    |     11.53     |
| 365  |        Irinotecan_1088        |     DENR    |     11.53     |
| 366  |          AZD6738_1917         |    USP39    |     11.53     |
| 367  |          AZD5363_1916         |    RPS27    |     11.50     |
| 368  |         Taselisib_1561        |    NHP2L1   |     11.50     |
| 369  |          AZD5438_1401         |     RPS7    |     11.48     |
| 370  |       Camptothecin_1003       |    RPS27    |     11.47     |
| 371  |        NVP-ADW742_1932        |     IGJ     |     11.47     |
| 372  |         Topotecan_1808        |    USP39    |     11.46     |
| 373  |         Tamoxifen_1199        |    TROVE2   |     11.45     |
| 374  |       Temozolomide_1375       |     IGJ     |     11.45     |
| 375  |       Pevonedistat_1529       |     DENR    |     11.43     |
| 376  |          MIRA-1_1931          |    COPS3    |     11.42     |
| 377  |           MN-64_1854          |    WDR75    |     11.42     |
| 378  |          OSI-027_1594         |    SSBP1    |     11.41     |
| 379  |        GSK269962A_1192        |     UTP3    |     11.41     |
| 380  |          LGK974_1598          |    LSM14B   |     11.40     |
| 381  |         Nilotinib_1013        |     DENR    |     11.38     |
| 382  |         ZM447439_1050         |    RAB15    |     11.37     |
| 383  |         Cediranib_1922        |    COPS3    |     11.37     |
| 384  |          LCL161_1557          |    COPS3    |     11.36     |
| 385  |           MIM1_1996           |    SEC61B   |     11.35     |
| 386  |           ML323_1629          |     IGJ     |     11.35     |
| 387  |          AZD6738_1917         |     IGJ     |     11.35     |
| 388  |           IWP-2_1576          |    RPS11    |     11.34     |
| 389  |         Taselisib_1561        |    RPS14    |     11.33     |
| 390  |        Paclitaxel_1080        |     RPS7    |     11.33     |
| 391  |         Docetaxel_1819        |    DHX30    |     11.31     |
| 392  |        Zoledronate_1802       |    RPS27    |     11.31     |
| 393  |         Taselisib_1561        |    RPS27    |     11.31     |
| 394  |        Cytarabine_1006        |    USP39    |     11.30     |
| 395  |      Wee1 Inhibitor_1046      |    NHP2L1   |     11.29     |
| 396  |         PD0325901_1060        |     PES1    |     11.25     |
| 397  |        Dactolisib_1057        |    RPS27    |     11.25     |
| 398  |         Docetaxel_1819        |     IGJ     |     11.24     |
| 399  |  Telomerase Inhibitor IX_1930 |     PES1    |     11.23     |
| 400  |         Tamoxifen_1199        |    SEC61B   |     11.22     |
| 401  |         Axitinib_1021         |    RPS11    |     11.22     |
| 402  |         Alpelisib_1560        |     DENR    |     11.21     |
| 403  |          MG-132_1862          |    RPS14    |     11.21     |
| 404  |       Dactinomycin_1911       |    USP39    |     11.21     |
| 405  |        Afuresertib_1912       |     IGJ     |     11.20     |
| 406  |        Ribociclib_1632        |    TROVE2   |     11.20     |
| 407  |          MK-1775_1179         |    DHX30    |     11.20     |
| 408  |         Gefitinib_1010        |    WDR75    |     11.17     |
| 409  |          I-BRD9_1928          |    RPS11    |     11.16     |
| 410  |          AZD5438_1401         |    RPS27    |     11.14     |
| 411  |          VE-822_1613          |    NHP2L1   |     11.13     |
| 412  |        Savolitinib_1936       |    WDR75    |     11.12     |
| 413  |          LCL161_1557          |     DRG2    |     11.12     |
| 414  |          AZD5991_1720         |    WDR75    |     11.11     |
| 415  |         Afatinib_1032         |    NHP2L1   |     11.11     |
| 416  |         PLX-4720_1036         |    RAB15    |     11.10     |
| 417  |          AZD1332_1463         |    RPS11    |     11.08     |
| 418  |         Cisplatin_1005        |    COPS3    |     11.06     |
| 419  |         Axitinib_1021         |     IGJ     |     11.05     |
| 420  |        Elephantin_1835        |    SEC61B   |     11.02     |
| 421  |         Axitinib_1021         |     PES1    |     11.01     |
| 422  |          MK-1775_1179         |    RPS27    |     11.01     |
| 423  |      Dihydrorotenone_1827     |    RPS27    |     11.01     |
| 424  |        Fulvestrant_1816       |     RPS7    |     11.00     |
| 425  |           IWP-2_1576          |     DRG2    |     10.99     |
| 426  | KRAS (G12C) Inhibitor-12_1855 |     DENR    |     10.99     |
| 427  |         Afatinib_1032         |    RPS11    |     10.98     |
| 428  |        Trametinib_1372        |    NHP2L1   |     10.97     |
| 429  |         Niraparib_1177        |    WDR75    |     10.96     |
| 430  |          GDC0810_1925         |    USP39    |     10.96     |
| 431  |        Trametinib_1372        |    USP39    |     10.93     |
| 432  |          AZD8055_1059         |    USP39    |     10.93     |
| 433  |        Trametinib_1372        |     DENR    |     10.91     |
| 434  |          NU7441_1038          |    SSBP1    |     10.90     |
| 435  |          OSI-027_1594         |     PES1    |     10.90     |
| 436  |         PCI-34051_1621        |     IGJ     |     10.87     |
| 437  |          GNE-317_1926         |    RPS27    |     10.82     |
| 438  |        Oxaliplatin_1089       |     RPS7    |     10.80     |
| 439  |         LY2109761_1852        |     DRG2    |     10.80     |
| 440  |        Fulvestrant_1200       |    TROVE2   |     10.77     |
| 441  |        Leflunomide_1578       |    TRMT6    |     10.75     |
| 442  |        GSK2606414_1618        |    SEC61B   |     10.73     |
| 443  |         Sapitinib_1549        |    NHP2L1   |     10.72     |
| 444  |         Afatinib_1032         |    USP39    |     10.71     |
| 445  |        BMS-536924_1091        |     PRCP    |     10.70     |
| 446  |          AZD4547_1786         |    RPS27    |     10.69     |
